,Ticker,Score Final,Recomendación,% Subida a Máx,Crecimiento Futuro,País,Semáforo Riesgo,Contexto Global,Proyección 12M (%),Score Numérico Total,Fuente,Mínimo,Máximo,Actual,Forward EPS,Forward Revenue Growth,Margen Futuro,Sector,Tipo,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Revenue Growth YoY,Contexto,VIX,Riesgo País,Cobertura,Target Base 12M,Target Alcista 12M,Target Conservador,Justificación Score,Advertencia
24,TLEVISACPO.MX,⭐⭐ (2/5 - Riesgoso),❌ Evitar,1325.03,🔴 Bajo,mexico,ROJO,Contexto Global: MODERADO,444.35,6,Yahoo Finance,6.62,112.15,7.87,2.38,-6.1,,Communication Services,Acción,,,0.20745797,-0.07484,-0.0015199999,39.12,92.479,4.916,4.45,1.558,-0.061,"Grupo Televisa, S.A.B., junto con sus subsidiarias, posee y opera compañías de cable y ofrece un sistema de televisión de pago satelital directo a casa en México e internacionalmente. Funciona a través de segmentos de cable y cielo. La compañía ofrece suscripción de televisión básica y premium, pago por visión, instalación, suscripción de Internet y suscripción de servicios telefónicos y móviles, así como servicios publicitarios locales y nacionales; y datos y soluciones de servicios de larga distancia a operadores y otros proveedores de servicios de telecomunicaciones a través de su red de fibra óptica. También proporciona servicios de televisión de pago satelital de transmisión directa a casa que comprenden servicios de programación, instalación y alquiler de equipos a suscriptores; y ventas nacionales de publicidad. Grupo Televisa, S.A.B. fue fundada en 1969 y tiene su sede en la Ciudad de México, México.",22.29,320,6/8,42.84,59.5,28.56,"EV/EBITDA < 15,FCF positivo,FCF > 5%,P/B < 3,Dividendo > 2%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro negativo,ROE negativo,Contexto global favorable (+1)",
26,MELI,⭐⭐ (2/5 - Riesgoso),❌ Evitar,3.91,🟢 Alto,uruguay,ROJO,Contexto Global: MODERADO,-65.28,5,Yahoo Finance,35.24,2606.01,2507.83,48.38,37,,Consumer Cyclical,Acción,1.42,61.723602,25.407839,0.49106997,0.07739,1.24,155.016,35.939,,1.613,0.37,"Mercadolibre, Inc. opera plataformas de comercio en línea en Brasil, México, Argentina e internacionalmente. La compañía opera Mercado Libre Marketplace, una plataforma de comercio en línea a la que se puede acceder a través de la aplicación móvil o el sitio web; y Mercado Pago, una plataforma de solución de tecnología financiera, que ofrece un conjunto integral de servicios de tecnología financiera a los usuarios y otros usuarios de su plataforma de comercio electrónico. También proporciona Mercado Fondo que permite a los usuarios invertir fondos depositados en sus cuentas de Mercado Pago; Mercado Credito, que otorga préstamos y obtiene mejores alternativas de financiación; y Mercado Mercado Envios que facilita el envío de bienes de la compañía y los vendedores a los compradores. Además, la compañía proporciona Mercado Libre Classifieds, donde los usuarios pueden enumerar vehículos, propiedades y servicios; Mercado ADS, una plataforma publicitaria, que permite a los minoristas y marcas promocionar sus productos y servicios en la plataforma; y Mercado Shops que permite a los usuarios configurar, administrar y promover sus propias tiendas web en línea bajo un modelo de negocio basado en suscripción. Mercadolibre, Inc. se incorporó en 1999 y tiene su sede en Montevideo, Uruguay.",22.29,400,8/8,870.84,1209.5,580.56,"ROE > 10%,PEG Ratio razonable,FCF positivo,EPS futuro positivo,Crecimiento futuro > 10%,P/E > 60 (penaliza),Contexto global favorable (+1)",
21,AZUL4.SA,⭐⭐ (2/5 - Riesgoso),❌ Evitar,5900.96,🟢 Alto,brazil,ROJO,Contexto Global: MODERADO,,5,Yahoo Finance,1.02,62.41,1.04,-0.96,15.299999999999999,,Industrials,Acción,,,-0.01622566,,0.10589,294.29,,7.994,,1.616,0.153,"Azul S.A., junto con sus subsidiarias, proporciona servicios de transporte aéreo en Brasil e internacionalmente. También está involucrado en la carga o el correo; charter de pasajeros; desarrollo de programas de flyer frecuentes; propietario de la propiedad intelectual; paquetes de viaje; Financiación: financiación de aviones; y provisión de servicios de mantenimiento y ahorro para aviones, motores, piezas y piezas, adquisición de aviones y servicios de arrendamiento. Al 31 de diciembre de 2023, la compañía operaba aproximadamente 980 salidas diarias a 160 destinos a través de una red de 400 rutas sin parar; con una flota operativa de 181 aviones y una flota contractual de pasajeros de 185 aviones. La compañía fue incorporada en 2008 y tiene su sede en Barueri, Brasil.",22.29,260,5/8,,,,"EV/EBITDA < 15,ROIC > 8%,FCF positivo,FCF > 5%,Potencial subida > 40%,EPS futuro negativo,Crecimiento futuro > 10%,Penalización sectorial por brazil/industrials (-1),Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
33,CAT,⭐⭐ (2/5 - Riesgoso),❌ Evitar,20.38,🔴 Bajo,usa,AMARILLO,Contexto Global: MODERADO,16.11,6,Yahoo Finance,34.53,413.37,343.39,22.15,-9.8,,Industrials,Acción,,16.750732,8.95294,0.55646,0.09403,4.22,213.547,13.36,1.64,1.346,-0.098,"Caterpillar Inc. fabrica y vende equipos de construcción y minería, motores diesel y de gas natural fuera de la carretera, turbinas de gas industrial y locomotoras diesel-eléctricas en los Estados Unidos e internacionalmente. Su segmento de la Industria de Construcción ofrece adoquines de asfalto, cepilladores fríos, compactadores, máquinas forestales, manejadores de materiales, alumnos de motor, tuberías, recuperadores de carreteras, manzadores telesportantes, tractores de tipo vía y excavadoras de vías y ruedas; Pista compacta, rueda, tipo de pista, retroexcavadora y cargadores de skid; y piezas y herramientas relacionadas. El segmento de las industrias de recursos de la compañía proporciona cuerdas eléctricas y palas hidráulicas, draglines, taladros rotativos, vehículos de roca dura, tractores, camiones mineros, cargadores de ruedas, camiones fuera de punto y camiones articulados, camiones de cuerpo ancho, raspadores de tractores y soluciones de tractores de ruedas, trabajos de gestión de flotas, tierras y tierras de seguridad de suelos, y tierras de seguridad, y tierras de seguridad, y tierras. soluciones, así como piezas y servicios relacionados. Su segmento de Energía y Transporte ofrece conjuntos de generadores con motor recíproco con motor; motores alternativos, transmisión y sistemas y soluciones integrados; turbinas, compresores de gas centrífuga y servicios relacionados; y locomotoras y componentes diesel-eléctricos, y otros productos relacionados con el riel. El segmento de productos financieros de la Compañía proporciona arrendamientos operativos y financieros, contratos de venta a plazos, cuentas de cargos rotativos, servicios de reparación/financiamiento de reconstrucción, préstamos de capital de trabajo y financiamiento mayorista; y productos y servicios de gestión de seguros y riesgos. Todos los demás segmentos ofrecen componentes de desgaste y mantenimiento; distribución de piezas; Soluciones logísticas y servicios de distribución; Gestión de la cartera de distribuidores y servicios de estrategia de gestión de marca y marketing; y servicios de inversión digital. Caterpillar Inc. fue fundada en 1925 y tiene su sede en Irving, Texas.",22.29,50,7/8,398.7,553.75,265.8,"EV/EBITDA < 15,ROE > 10%,ROIC > 8%,FCF positivo,P/E < 20,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro negativo,Penalización sectorial por usa/industrials (-1),Contexto global favorable (+1)",
30,LOMA,⭐⭐ (2/5 - Riesgoso),❌ Evitar,55.27,🔴 Bajo,argentina,AMARILLO,Contexto Global: ADVERSO,13.64,5,Yahoo Finance,2.75,21.4,13.78,0.87,-8.9,,Basic Materials,Acción,,19.138887,0.0018215678,0.13898,0.054190002,-664.88,22.71,1.176,,1.093,-0.089,"Loma Negra Compañía Industrial Argentina Sociedad Anónima, junto con sus subsidiarias, fabrica y vende cemento y sus derivados en Argentina. La compañía opera a través de cemento, mampostería y lima; Concreto; Servicios ferroviarios; Agregados; y otros segmentos. Ofrece cemento de mampostería, agregados, concreto, concreto y lima a distribuidores mayoristas, productores de concreto, clientes industriales y otros para su uso en la construcción. La compañía también ofrece servicios de transporte ferroviario; y trata y recicla los desechos industriales para su uso como combustible y materia prima. Comercializa sus productos bajo Loma Negra, San Martín, Plasticor, Cacique Plus, Cacique Max, Loma Negra Plus y Lomax Brands. La compañía fue fundada en 1926 y tiene su sede en Buenos Aires, Argentina. Loma Negra Compañía Industrial Argentina Sociedad Anónima opera como una subsidiaria del intercambio de intercambios e inversiones argentina Sociedad Limitada.",22.29,1450,7/8,15.66,21.75,10.44,"EV/EBITDA < 15,ROE > 10%,P/E < 20,P/B < 3,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro negativo",
8,QQQ,⭐ (1/5 - Débil),❌ Evitar,5.79,🔴 Bajo,default,ROJO,Contexto Global: MODERADO,,3,Yahoo Finance,37.17,538.72,509.24,,,,,Acción,,31.934755,1.4233567,,,,,,0.63,,,"Para mantener la correspondencia entre la composición y los pesos de los valores en el fideicomiso (los ""valores"") y las acciones en el índice NASDAQ-100, el asesor ajusta los valores de vez en cuando para cumplir con los cambios periódicos en la identidad y/o los pesos relativos de los valores de índice. La composición y ponderación de la parte de valores de un depósito de cartera también se ajustan para cumplir con los cambios en el índice.",22.29,400,2/8,,,,"P/B < 3,Dividendo > 2%,Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
56,SEDG,⭐ (1/5 - Débil),❌ Evitar,2104.91,🟡 Moderado,israel,AMARILLO,Contexto Global: MODERADO,,3,Yahoo Finance,10.47,368.33,16.7,-2.45,7.3999999999999995,,Technology,Acción,,,1.638709,-1.23296,-0.25206,18.19,127.576,-0.845,,1.493,0.074,"Solaredge Technologies, Inc., junto con sus subsidiarias, diseña, desarrolla, fabrica y vende sistemas de inversores optimizados de corriente continua (DC) para instalaciones solares fotovoltaicas (PV) en los Estados Unidos, Alemania, los Países Bajos, Italia, el resto de Europa e internacionalmente. La compañía ofrece optimizadores de energía, inversores, celdas de iones de litio, baterías, soluciones de almacenamiento, cargadores de vehículos eléctricos y gestión de software de carga EV, productos de energía inteligente, rastreadores inteligentes y productos de software de gestión de energía inteligente; Plataforma de monitoreo, una plataforma de monitoreo basada en la nube, que recopila potencia, voltaje, temperatura de corriente y otros datos enviados desde inversores y optimizadores de potencia; y la aplicación Mysolaredge, que permite a los propietarios de sistemas rastrear su producción en tiempo real y consumo de energía doméstica. También proporciona la aplicación SolarDege Go, una aplicación móvil para instaladores, integración de instalación, administración y capacidades de servicio; Designer Platform, una herramienta basada en la web que ayuda a los profesionales solares a planificar, construir, simular y validar sistemas residenciales y comerciales; Aplicación mapeador para registrar el diseño físico de nuevos sitios fotovoltaicos instalados con sistemas de inversor optimizados de CC; Aplicación SetApp, que activa y configra inversores; y servicios de cuadrícula. Además, la compañía ofrece soporte preventivo y servicios de capacitación continua, así como soporte técnico antes, durante y después de los servicios de instalación. Sirve instaladores solares; Proveedores de sistemas solares fotovoltaicos a usuarios finales residenciales y comerciales; distribuidores solares clave; empresas de ingeniería, adquisición y construcción; y mayoristas de equipos eléctricos. Solaredge Technologies, Inc. se incorporó en 2006 y tiene su sede en Herzliya Pituach, Israel.",22.29,400,6/8,,,,"FCF positivo,FCF > 5%,P/B < 3,Potencial subida > 40%,EPS futuro negativo,ROE negativo,Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
61,DQ,⭐ (1/5 - Débil),❌ Evitar,804.08,🔴 Bajo,china,VERDE,Contexto Global: MODERADO,,0,Yahoo Finance,0.74,124.13,13.73,-1.28,-70.19999999999999,,Technology,Acción,,,0.21229221,-0.09329,-0.047399998,-43.8,,-13.531,,0.58,-0.702,"Daqo New Energy Corp., junto con sus subsidiarias, fabrica y vende Polysilicon a fabricantes de productos fotovoltaicos en la República Popular de China. Sus productos se utilizan en lingotes, obleas, células y módulos para soluciones de energía solar. La compañía fue conocida anteriormente como Mega Stand International Limited y cambió su nombre a Daqo New Energy Corp. en agosto de 2009. La compañía fue fundada en 2006 y tiene su sede en Shanghai, la República Popular de China.",22.29,70,6/8,,,,"Beta <= 1,P/B < 3,Potencial subida > 40%,EPS futuro negativo,Crecimiento futuro negativo,ROE negativo,Penalización sectorial por china/technology (-1),Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
60,PLUG,⭐ (1/5 - Débil),❌ Evitar,9282.05,🟡 Moderado,usa,ROJO,Contexto Global: MODERADO,,1,Yahoo Finance,0.12,73.18,0.78,-0.57,11.200000000000001,,Industrials,Acción,,,0.4105263,-0.82522005,-0.15126,-75.16,51.057,-1.694,,2.189,0.112,"Plug Power Inc. desarrolla soluciones de productos de celdas de combustible de hidrógeno en América del Norte, Europa, Asia e internacionalmente. La compañía ofrece Gendrive, un sistema de celdas de combustible de intercambio de protones alimentado por hidrógeno (PEM) que proporciona energía para el manejo de los vehículos eléctricos; Gensure, una solución estacionaria de pila de combustible que ofrece potencia modular de pila de combustible PEM para soportar los requisitos de potencia de respaldo y soporte de la red de los sectores de telecomunicaciones, transporte y utilidad; y Progen, una pila de celdas de combustible y tecnología de motor utilizada en sistemas de movilidad y celdas de combustible estacionarias. También ofrece Genfuel, un sistema de suministro, generación, almacenamiento y dispensación de hidrógeno líquido; Gencare, un programa continuo de Internet de mantenimiento basado en cosas y servicios en el sitio para sistemas de celdas de combustible de gendrive; Sistemas de celdas de combustible de gases; Almacenamiento de hidrógeno Genfuel y productos dispensadores; Motores de pila de combustible de progenisos; y Genkey, una solución de llave llave integrada para la transición a la potencia de la celda de combustible. Además, la compañía también proporciona electrolizeros, un generador de hidrógeno para la producción de hidrógeno limpio; sistemas de licuefacción que proporcionan hidrógeno líquido a los clientes; Equipo criogénico para la distribución de hidrógeno licuado, oxígeno, argón, nitrógeno y otros gases criogénicos, incluidos remolques y equipos de almacenamiento móvil; e hidrógeno líquido, una alternativa al combustible a la energía a base de fósiles. La compañía vende sus productos a través de una fuerza directa de ventas de productos, fabricantes de equipos originales y redes de distribuidores. Plug Power Inc. se incorporó en 1997 y tiene su sede en Latham, Nueva York.",22.29,50,6/8,,,,"P/B < 3,Potencial subida > 40%,EPS futuro negativo,Crecimiento futuro > 10%,ROE negativo,Penalización sectorial por usa/industrials (-1),Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
3,TSLA,⭐ (1/5 - Débil),❌ Evitar,41.41,🔴 Bajo,usa,ROJO,Contexto Global: MODERADO,-82.81,2,Yahoo Finance,1.05,479.86,339.34,3.24,-9.2,,Consumer Cyclical,Acción,,192.80682,14.636818,0.087740004,0.03724,0.31,17.407,85.251,,2.434,-0.092,"Tesla, Inc. diseña, desarrolla, fabrica, arranca y vende vehículos eléctricos, y sistemas de generación y almacenamiento de energía en los Estados Unidos, China e internacionalmente. La compañía opera en dos segmentos, automotriz; y generación y almacenamiento de energía. El segmento automotriz ofrece vehículos eléctricos, así como vende créditos regulatorios automotrices; y vehículo posterior a la venta de no preferencias, vehículos usados, taller y piezas de carrocería, sobrealimentación, mercancía minorista y servicios de seguro de vehículos. Este segmento también proporciona sedanes y vehículos utilitarios deportivos a través de ventas directas y usadas de vehículos, una red de sobrealimentadores Tesla y actualizaciones en la aplicación; Servicios de financiamiento y arrendamiento de compras; servicios para vehículos eléctricos a través de sus ubicaciones de servicio propiedad de la empresa y técnicos de servicio móvil Tesla; y garantías limitadas de vehículos y planes de servicio extendidos. El segmento de generación y almacenamiento de energía se involucra en el diseño, fabricación, instalación, venta y arrendamiento de productos de generación de energía solar y almacenamiento de energía, y servicios relacionados con clientes y servicios públicos residenciales, comerciales e industriales a través de su sitio web, tiendas y galerías, así como a través de una red de socios de canal. Este segmento también brinda servicios y reparaciones a sus clientes de productos energéticos, incluso bajo garantía; y varias opciones de financiamiento a sus clientes residenciales. La compañía fue conocida anteriormente como Tesla Motors, Inc. y cambió su nombre a Tesla, Inc. en febrero de 2017. Tesla, Inc. se incorporó en 2003 y tiene su sede en Austin, Texas.",22.29,50,7/8,58.32,81,38.88,"FCF positivo,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro negativo,P/E > 60 (penaliza),Contexto global favorable (+1)",
41,BMA,⭐ (1/5 - Débil),❌ Evitar,22.83,🔴 Bajo,argentina,VERDE,Contexto Global: ADVERSO,93.13,2,Yahoo Finance,7.66,115.85,94.32,10.12,-65.4,,Financial Services,Acción,,21.291197,0.014893002,0.076570004,0.022330001,,,,22.87,0.905,-0.654,"Banco Macro S.A. proporciona varios productos y servicios bancarios a clientes minoristas y corporativos en Argentina. Ofrece varios productos y servicios bancarios minoristas, como cuentas de ahorro y corriente, depósitos de tiempo, tarjetas de crédito y débito, préstamos financieros de consumo, préstamos hipotecarios, préstamos para automóviles, sobregiros, servicios relacionados con el crédito, cobertura de seguro de vivienda y automóvil, recaudación de impuestos, pagos de servicios públicos, cajeros automáticos y transferencias de dinero. La compañía también ofrece préstamos personales, descuentos en documentos, hipotecas residenciales, sobregiros, préstamos prometidos y préstamos con tarjetas de crédito a clientes minoristas. Además, ofrece productos y servicios bancarios corporativos, incluidos depósitos, préstamos, cheques de cobro de avances y factorización, préstamos garantizados, líneas de crédito para financiar el comercio exterior y los servicios de gestión de efectivo; y servicios de confianza, nómina y agencia financiera, así como tarjetas de crédito corporativas y otros productos especializados; e instalaciones de capital de trabajo, crédito para proyectos de inversión y transacciones de arrendamiento y comercio exterior. Además, la compañía proporciona servicios de transacciones, como gestión de efectivo, servicios de cobro, pagos a proveedores, servicios de nómina, transacciones de divisas y servicios de comercio exterior; Servicios de información que comprenden servicios de datos e interpimas a clientes corporativos; e servicios de banca por Internet y móviles. Además, ofrece productos de préstamos corporativos a corto y largo plazo. Banco Macro S.A. se incorporó en 1966 y tiene su sede en Buenos Aires, Argentina.",22.29,1450,6/8,182.16,253,121.44,"Beta <= 1,P/B < 3,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro negativo,Penalización sectorial por argentina/financial services (-1)",
57,RUN,⭐ (1/5 - Débil),❌ Evitar,1302.62,🟡 Moderado,usa,ROJO,Contexto Global: MODERADO,,2,Yahoo Finance,4.63,96.5,6.88,-0.75,10.100000000000001,,Technology,Acción,,,0.5980009,-0.80127,-0.015310001,-175.78,334.116,119.004,,2.657,0.101,"Sunrun Inc. diseña, desarrolla, instala, vende, posee y mantiene sistemas de energía solar residencial en los Estados Unidos. Venta a sistemas y productos de energía solar, como paneles y estanterías; y clientes potenciales solares generados para los clientes. Además, la compañía ofrece almacenamiento de baterías junto con sistemas de energía solar; y vende servicios a desarrolladores comerciales a través de casas multifamiliares y nuevas. Sus principales clientes son los propietarios residenciales. La compañía comercializa y vende sus productos a través del enfoque directo al consumidor en los canales de referencia en línea, minorista, de medios de comunicación, medios digitales, de lona, ​​marketing de campo, así como su red de socios. Sunrun Inc. fue fundada en 2007 y tiene su sede en San Francisco, California.",22.29,50,6/8,,,,"P/B < 3,Potencial subida > 40%,EPS futuro negativo,Crecimiento futuro > 10%,ROE negativo,Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
62,BE,⭐ (1/5 - Débil),❌ Evitar,118.94,🟢 Alto,usa,ROJO,Contexto Global: MODERADO,-65.81,3,Yahoo Finance,2.67,42.65,19.48,0.37,38.6,,Industrials,Acción,,974,7.8138785,0.01087,0.0135,1.73,253.641,50.087,,3.255,0.386,"Bloom Energy Corporation diseña, fabrica, vende e instala sistemas de celdas de combustible de óxido sólido para la generación de energía en el sitio en los Estados Unidos e internacionalmente. Ofrece Bloom Energy Server, una plataforma de generación de energía para convertir combustible, como gas natural, biogás, hidrógeno o una combinación de estos combustibles, en electricidad a través de un proceso electroquímico sin combustión. La compañía también proporciona Bloom Electrolyzer para producir hidrógeno. Venta sus productos a través de canales de ventas directos e indirectos a servicios públicos, centros de datos, agricultura, venta minorista, hospitales, educación superior, biotecnología y industrias manufactureras. La compañía se conoció anteriormente como Ion America Corp. y cambió su nombre a Bloom Energy Corporation en 2006. Bloom Energy Corporation se incorporó en 2001 y tiene su sede en San José, California.",22.29,50,7/8,6.66,9.25,4.44,"FCF positivo,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro > 10%,P/E > 60 (penaliza),Penalización sectorial por usa/industrials (-1),Contexto global favorable (+1)",
7,AIQ,⭐ (1/5 - Débil),❌ Evitar,7.06,🔴 Bajo,default,ROJO,Contexto Global: MODERADO,,2,Yahoo Finance,11.92,42.77,39.95,,,,,Acción,,27.507914,,,,,,,0.14,,,"El Fondo invierte al menos el 80% de sus activos totales en los valores del índice subyacente. El índice subyacente está diseñado para rastrear el desempeño de las empresas involucradas en el desarrollo y la utilización de la inteligencia artificial (""AI"") y los grandes datos. El fondo no está diversificado.",22.29,400,1/8,,,,"Dividendo > 2%,Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
9,HACK,⭐ (1/5 - Débil),❌ Evitar,2.27,🔴 Bajo,default,ROJO,Contexto Global: MODERADO,,2,Yahoo Finance,18.44,82.82,80.98,,,,,Acción,,34.41702,,,,,,,0.14,,,"En circunstancias normales, el Fondo invertirá al menos el 80% de sus activos netos en los valores de las empresas que comprenden el índice. Al realizar esta estrategia de inversión, el Fondo invierte el 80% de sus activos netos en empresas que participan activamente en el proporcionar tecnología y servicios de seguridad cibernética, de acuerdo con la clasificación de la industria ISE Cyber ​​Security®. El índice consistirá en una selección de componentes en el índice de seguridad cibernética NASDAQ ISE. El fondo no está diversificado.",22.29,400,1/8,,,,"Dividendo > 2%,Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
22,MGLU3F.SA,⭐ (1/5 - Débil),❌ Evitar,0,🔴 Bajo,default,ROJO,Contexto Global: MODERADO,,1,Yahoo Finance,9.02,9.02,9.02,,,,,Acción,,,,,,,,,,,,,22.29,400,0/8,,,,"Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos","⚠️ Solo precio disponible, sin métricas fundamentales"
23,CEMEXCPO.MX,⭐ (1/5 - Débil),❌ Evitar,34.47,🔴 Bajo,mexico,ROJO,Contexto Global: MODERADO,30.43,1,Yahoo Finance,2.83,18.56,13.8,1,-7.3999999999999995,,Basic Materials,Acción,,,,,,,,,,,,,22.29,320,0/8,18,25,12,"EPS futuro positivo,Crecimiento futuro negativo,Contexto global favorable (+1)","⚠️ Solo precio disponible, sin métricas fundamentales"
34,STLD,N/A,❌ Evitar,22.15,🔴 Bajo,usa,AMARILLO,,,,Yahoo Finance,6.82,153.08,125.32,10.04,-6.9,,Basic Materials,Bono,,16.467806,2.1213353,0.13199,0.05924,-2.6,47.5,10.996,1.6,1.455,-0.069,"Steel Dynamics, Inc., junto con sus subsidiarias, opera como productor de acero y reciclador de metal en los Estados Unidos. Funciona a través de cuatro segmentos: operaciones de acero, operaciones de reciclaje de metales, operaciones de fabricación de acero y operaciones de aluminio. El segmento de operaciones de acero ofrece productos de acero enrollados, enrollados y recubiertos de acero; Vigas de brida paralela y secciones de canales, grandes ángulos de piernas desiguales y barras de acero de refuerzo, así como carbono de resistencia estándar, dureza de aleación intermedia y productos ferroviarios de grado premium; Productos de calidad especial diseñada de barra especial, productos de calidad de barra mercantil y otras barras de acero redondas de ingeniería; canales, ángulos, pisos, rondas comerciales y barras de acero de refuerzo; y formas especializadas y productos de acero estructural ligero. Este segmento también se dedica a girar, pulir, alisarse, acompañar, cortar sierra de precisión y tratamiento térmico de productos de barra. Sus productos se utilizan en equipos de construcción, automotriz, fabricación, transporte, pesado y agricultura, energía y mercados de tubos y tubos. El segmento de operaciones de reciclaje de metales participa en los servicios de procesamiento, transporte, marketing, marketing, corretaje y gestión de chatarra ferroso y no ferroso. Sus productos ferrosos incluyen acero de fusión pesado, busheling, chatarra agrupada, chatarra rallada, giros de acero y productos de hierro fundido; y los productos no ferrosos comprenden aluminio, latón, cobre, acero inoxidable y otros metales no ferrosos. El segmento de operaciones de fabricación de acero produce componentes de edificios no residenciales de acero, como viguetas de acero, vigas y productos de cubierta de acero para fabricantes de acero no residenciales, compañías de construcción de metales, contratistas generales de construcción, desarrolladores, propietarios, corredores y entidades gubernamentales. El segmento de operaciones de aluminio ofrece productos de aluminio reciclado de aluminio. La compañía también exporta sus productos. Steel Dynamics, Inc. se incorporó en 1993 y tiene su sede en Fort Wayne, Indiana.",22.29,50,3/3,,,,,
50,BBD,N/A,❌ Evitar,174.21,🟢 Alto,brazil,VERDE,,,,Yahoo Finance,1.68,7.68,2.8,0.44,26.5,,Financial Services,Bono,0.26,9.333333,0.17369726,0.112670004,0.0094800005,,,,1.39,0.388,0.265,"Banco Bradesco S.A., junto con sus subsidiarias, proporciona varios productos y servicios bancarios a individuos, empresas y empresas en Brasil e internacionalmente. La compañía opera a través de dos segmentos, banca y seguro. Proporciona cuentas actuales, de ahorro, clic y salariales; Crédito inmobiliario, financiamiento de vehículos, préstamos de nómina, préstamos hipotecarios, microcrédito, arrendamiento y crédito personal y a plazos; préstamos de sobregiro y agronegocios; tarjetas de débito y presentación; servicios financieros y de seguridad; productos de consorcio; automóvil, accidente personal, dental, viajes y seguros de vida; productos de inversión; productos de pensión; Servicios de cambio de divisas; bonos de capitalización; y servicios de banca por Internet. La compañía fue fundada en 1943 y tiene su sede en Osasco, Brasil.",22.29,260,3/3,,,,,
29,ALUA.BA,N/A,❌ Evitar,61.37,🟡 Moderado,argentina,VERDE,,,,Yahoo Finance,1.31,1273.24,789,25.9,5.800000000000001,,Basic Materials,Bono,,181.79723,1.6321853,0.1495,0.05926,-25.26,48.372,11.649,0.27,0.156,0.058,"Aluar Aluminio Argentino S.A.I.C. se involucra en la producción y venta de productos de aluminio en Argentina e internacionalmente. Funciona en cuatro segmentos: división primaria; División procesada; Generación de energía; e ingeniería, construcción y ensamblaje industrial. La compañía ofrece lingotes, barras, barras de alambre y placas; y productos de valor agregado, que incluyen perfiles, barras, tubos, laminados gruesos y láminas. También opera 14 turbinas eólicas con una capacidad instalada de 50.4 MW. La compañía fue incorporada en 1970 y tiene su sede en Buenos Aires, Argentina.",22.29,1450,3/3,,,,,
